100,1,1,18605300,7286150
100,1,10,14385700,843199
100,1,160000,44200500,17061616
100,12,12,4425400,605322
100,12,120,3606220,356340
100,12,160000,43132090,4554001
100,48,48,4453980,442976
100,48,480,5603410,319224
100,48,160000,44512380,4781605
1000,1,1,93624180,614602
1000,1,10,94045670,699793
1000,1,160000,130996040,5137921
1000,12,12,22300670,444434
1000,12,120,10054210,339814
1000,12,160000,61812670,4557388
1000,48,48,13549930,1475038
1000,48,480,12761820,690495
1000,48,160000,62790680,5320874
10000,1,1,893323270,1970929
10000,1,10,892031480,2662602
10000,1,160000,980699930,10958758
10000,12,12,208640400,2229221
10000,12,120,94536570,6354516
10000,12,160000,130110470,12274013
10000,48,48,122572320,14691900
10000,48,480,96247960,5548157
10000,48,160000,129922430,3416993
